Columna1;title;abstract
230;Climate Change and Zoonoses: A Review of Concepts, Definitions, and Bibliometrics;"Climate change can have a complex impact that also influences human and animal health. For example, climate change alters the conditions for pathogens and vectors of zoonotic diseases. Signs of this are the increasing spread of the West Nile and Usutu viruses and the establishment of new vector species, such as specific mosquito and tick species, in Europe and other parts of the world. With these changes come new challenges for maintaining human and animal health. This paper reports on an analysis of the literature focused on a bibliometric analysis of the Scopus database and VOSviewer software for creating visualization maps which identifies the zoonotic health risks for humans and animals caused by climate change. The sources retained for the analysis totaled 428 and different thresholds (N) were established for each item varying from N 5 to 10. The main findings are as follows: First, published documents increased in 2009–2015 peaking in 2020. Second, the primary sources have changed since 2018, partly attributable to the increase in human health concerns due to human-to-human transmission. Third, the USA, the UK, Canada, Australia, Italy, and Germany perform most zoonosis research. For instance, sixty documents and only 17 countries analyzed for co-authorship analysis met the threshold led by the USA; the top four author keywords were “climate change”, “zoonosis”, “epidemiology”, and “one health;” the USA, the UK, Germany, and Spain led the link strength (inter-collaboration); the author keywords showed that 37 out of the 1023 keywords met the threshold, and the authors’ keyword’s largest node of the bibliometric map contains the following: infectious diseases, emerging diseases, disease ecology, one health, surveillance, transmission, and wildlife. Finally, zoonotic diseases, which were documented in the literature in the past, have evolved, especially during the years 2010–2015, as evidenced by the sharp augmentation of publications addressing ad-hoc events and peaking in 2020 with the COVID-19 outbreak."
231;Talking about Climate Change and Environmental Degradation with Patients in Primary Care: A Cross-Sectional Survey on Knowledge, Potential Domains of Action and Points of View of General Practitioners;Purpose: General practitioners (GPs) could play a role in mitigating climate change by raising awareness of its impact on human health and implementing changes to improve population health and decreasing environmental footprints. The aim of this study was to assess GPs’ knowledge and perspectives about the health impacts of climate change. Method: A questionnaire was sent to 1972 GPs in the French-speaking part of Switzerland. Knowledge of the impact of environmental degradations and climate change on health and willingness to address climate change with patients, to be exemplary and to act as role models were surveyed as well as demographic characteristics of GPs. Results: Respondents (N = 497) expressed a high level of self-reported knowledge regarding climate change, although it was lower for more specific topics, such as planetary health or health–environment co-benefits. Participants mostly agreed that it is necessary to adapt clinical practice to the health impacts of climate change and that they have a role in providing information on climate change and its links to human health. Conclusion: Most of the GPs were concerned about environmental and climate degradation. However, this study revealed a gap between the willingness of GPs to integrate the impact of climate change on health into their clinical activities and their lack of overall knowledge and scientific evidence on effective interventions. A promising way forward may be to develop co-benefit interventions adapted to the clinical setting on diet, active mobility and connecting with nature.
232;Climate Change and Public Health;It is clear that the public health community is concerned about the human health impacts of climate change, but are we inadvertently underestimating the scope of the problem and obfuscating potentially useful interventions by using a narrow intellectual frame in our discussions with policy makers? If we take a more holistic approach, we see that the public health impacts of climate change are only one subset of the enormous public health impacts of fossil fuel burning. This broader perspective can provide a more accurate and comprehensive assessment that is more useful for decision making in public policy settings.
233;An investigation into the relationship between climate change anxiety and mental health among Gen Z Filipinos;"Climate change and mental health concerns are both defining issues of the generation of today. It has been established that the worsening climate causes many environmental disasters and physical health problems. However, its psychological impacts are still not well understood. Climate change has brought about an emerging psychological phenomenon termed ‘climate anxiety’ or ‘eco-anxiety,’ which has been described as a ""chronic fear of environmental doom"" (Clayton et al., 2017 , p. 68) due to the impact of climate change. This predictive cross-sectional study investigated the link between climate change anxiety and mental health among 433 Filipinos. A total of 145 males and 288 females aged 18 to 26 completed the Climate Change Anxiety Scale and the Mental Health Inventory (MHI-38). Results show a significant relationship between climate change anxiety and mental health, with climate change anxiety predicting 13.5% of the overall Mental Health Index variance. Significantly, climate change anxiety was associated with the MHI-38’s global scale of Psychological Distress but not with the global scale of Psychological Well-being. The findings are discussed concerning the broader context of research on the mental health impacts of climate change."
234;Aboriginal Population and Climate Change in Australia: Implications for Health and Adaptation Planning;The health impacts of climate are widely recognised, and extensive modelling is available on predicted changes to climate globally. The impact of these changes may affect populations differently depending on a range of factors, including geography, socioeconomics and culture. This study reviewed current evidence on the health risks of climate change for Australian Aboriginal populations and linked Aboriginal demographic data to historical and projected climate data to describe the distribution of climate-related exposures in Aboriginal compared to non-Aboriginal populations in New South Wales (NSW), Australia. The study showed Aboriginal populations were disproportionately exposed to a range of climate extremes in heat, rainfall and drought, and this disproportionate exposure was predicted to increase with climate change over the coming decades. Aboriginal people currently experience higher rates of climate-sensitive health conditions and socioeconomic disadvantages, which will impact their capacity to adapt to climate change. Climate change may also adversely affect cultural practices. These factors will likely impact the health and well-being of Aboriginal people in NSW and inhibit measures to close the gap in health between Aboriginal and non-Aboriginal populations. Climate change, health and equity need to be key considerations in all policies at all levels of government. Effective Aboriginal community engagement is urgently needed to develop and implement climate adaptation responses to improve health and social service preparedness and secure environmental health infrastructure such as drinking water supplies and suitably managed social housing. Further Aboriginal-led research is required to identify the cultural impacts of climate change on health, including adaptive responses based on Aboriginal knowledges.
235;Climate Change and Public Health Surveillance: Toward a Comprehensive Strategy;Context: Climate change poses a host of serious threats to human health that robust public health surveillance systems can help address. It is unknown, however, whether existing surveillance systems in the United States have adequate capacity to serve that role, nor what actions may be needed to develop adequate capacity. Objective: Our goals were to review efforts to assess and strengthen the capacity of public health surveillance systems to support health-related adaptation to climate change in the United States and to determine whether additional efforts are warranted. Methods: Building on frameworks issued by the Intergovernmental Panel on Climate Change and the Centers for Disease Control and Prevention, we specified 4 core components of public health surveillance capacity relevant to climate change health threats. Using standard methods, we next identified and analyzed multiple assessments of the existing, relevant capacity of public health surveillance systems as well as attempts to improve that capacity. We also received information from selected national public health associations. Findings: Multiple federal, state, and local public health agencies, professional associations, and researchers have made valuable, initial efforts to assess and strengthen surveillance capacity. These efforts, however, have been made by entities working independently and without the benefit of a shared conceptual framework or strategy. Their principal focus has been on identifying suitable indicators and data sources largely to the exclusion of other core components of surveillance capacity. Conclusions: A more comprehensive and strategic approach is needed to build the public health surveillance capacity required to protect the health of Americans in a world of rapidly evolving climate change. Public health practitioners and policy makers at all levels can use the findings and issues reviewed in this article as they lead design and execution of a coordinated, multisector strategic plan to create and sustain that capacity.
236;Challenges and Opportunities for Advancing Work on Climate Change and Public Health;"Climate change poses a major threat to public health. Strategies that address climate change have considerable potential to benefit health and decrease health inequities, yet public health engagement at the intersection of public health, equity, and climate change has been limited. This research seeks to understand the barriers to and opportunities for advancing work at this nexus. We conducted semi-structured in-depth interviews (N = 113) with public health and climate change professionals and thematic analysis. Barriers to public health engagement in addressing climate change include individual perceptions that climate change is not urgent or solvable and insufficient understanding of climate change’s health impacts and programmatic connections. Institutional barriers include a lack of public health capacity, authority, and leadership; a narrow framework for public health practice that limits work on the root causes of climate change and health; and compartmentalization within and across sectors. Opportunities include integrating climate change into current public health practice; providing inter-sectoral support for climate solutions with health co-benefits; and using a health frame to engage and mobilize communities. Efforts to increase public health sector engagement should focus on education and communications, building leadership and funding, and increasing work on the shared root causes of climate change and health inequities."
237;Nurses' Perspectives on Climate Change, Health, and Nursing Practice.;AIM The purpose of this study was to explore Canadian nurses' perspectives on climate change, health, nursing practice, and the relationships between these concepts.   BACKGROUND Climate change negatively impacts human health. With a mandate to promote health, nurses have a professional and ethical responsibility to address climate change. Little is known about Canadian nurses' perspectives on climate change or how they perceive of their professional responsibility towards addressing it.   METHODS A focused ethnography was conducted in three medicine units and the emergency room at a Canadian hospital. Nurses (n=22) participated in semi-structured interviews and observations were collected. Data were analysed via thematic analysis. Reporting is in accordance with the COREQ guideline.   RESULTS Three themes were identified: muddled terminology, climate change and health, and nursing's relationship to climate change.   CONCLUSION Participants had varying levels of knowledge about climate change and its relationship to health or practice. Climate change was a personal concern and nursing's role in addressing it was not understood.   RELEVANCE TO PRACTICE This study highlighted that practicing nurses did not readily recognize their role in addressing climate change. More work is needed to clarify this role and bring it into the consciousness of every-day nursing practice. Furthermore, more work is needed to examine how healthcare organizations can better support environmentally responsible nursing practice.
238;Climate change, health, and conflict in Africa’s arc of instability;"IntroductIon Climate change lies at the heart of many complex humanitarian emergencies and emerging global health challenges, with Sub-Saharan Africa (SSA) identified as one of the most vulnerable regions to the impacts of climate change.1 An arc stretching from Somalia and eritrea in the east to Mauritania in the west forms a band of countries that are particularly vulnerable to the consequences of climate change (Figure 1).2 This arc experiences a devastating combination of state fragmentation, islamist insurgency, and climate change, undermining livelihood strategies across the region. A climate injustice exists; despite contributing relatively little to the anthropogenic causes of climate change, individuals living in these countries face the most severe impacts.3"
239;Antibiotic-Resistant Bacteria in Aquaculture and Climate Change: A Challenge for Health in the Mediterranean Area;Aquaculture is the productive activity that will play a crucial role in the challenges of the millennium, such as the need for proteins that support humans and the respect for the environment. Aquaculture is an important economic activity in the Mediterranean basin. A great impact is presented, however, by aquaculture practices as they involve the use of antibiotics for treatment and prophylaxis. As a consequence of the use of antibiotics in aquaculture, antibiotic resistance is induced in the surrounding bacteria in the column water, sediment, and fish-associated bacterial strains. Through horizontal gene transfer, bacteria can diffuse antibiotic-resistance genes and mobile resistance genes further spreading genetic determinants. Once triggered, antibiotic resistance easily spreads among aquatic microbial communities and, from there, can reach human pathogenic bacteria, making vain the use of antibiotics for human health. Climate change claims a significant role in this context, as rising temperatures can affect cell physiology in bacteria in the same way as antibiotics, causing antibiotic resistance to begin with. The Mediterranean Sea represents a ‘hot spot’ in terms of climate change and aspects of antibiotic resistance in aquaculture in this area can be significantly amplified, thus increasing threats to human health. Practices must be adopted to counteract negative impacts on human health, with a reduction in the use of antibiotics as a pivotal point. In the meantime, it is necessary to act against climate change by reducing anthropogenic impacts, for example by reducing CO2 emissions into the atmosphere. The One Health type approach, which involves the intervention of different skills, such as veterinary, ecology, and medicine in compliance with the principles of sustainability, is necessary and strongly recommended to face these important challenges for human and animal health, and for environmental safety in the Mediterranean area.
240;Maternal and newborn health risks of climate change: A call for awareness and global action;Climate change represents one of the largest global health threats of the 21st century with immediate and long‐term consequences for the most vulnerable populations, especially in the poorest countries with the least capacity to adapt to climate change. Pregnant women and newborns are increasingly being recognized as vulnerable populations in the context of climate change. The effects can be direct or indirect through heat stress, extreme weather events and air pollution, potentially impacting both the immediate and long‐term health of pregnant women and newborns through a broad range of mechanisms. In 2008, the World Health Organization passed a resolution during the 61st World Health Assembly, recognizing the need for research to identify strategies and health‐system strengthening to mitigate the effects of climate change on health. Climate adaptation plans need to consider vulnerable populations such as pregnant women and neonates and a broad multisectoral approach to improve overall resilience of societies.
241;Negative emotions about climate change are related to insomnia symptoms and mental health: Cross-sectional evidence from 25 countries;Climate change threatens mental health via increasing exposure to the social and economic disruptions created by extreme weather and large-scale climatic events, as well as through the anxiety associated with recognising the existential threat posed by the climate crisis. Considering the growing levels of climate change awareness across the world, negative emotions like anxiety and worry about climate-related risks are a potentially pervasive conduit for the adverse impacts of climate change on mental health. In this study, we examined how negative climate-related emotions relate to sleep and mental health among a diverse non-representative sample of individuals recruited from 25 countries, as well as a Norwegian nationally-representative sample. Overall, we found that negative climate-related emotions are positively associated with insomnia symptoms and negatively related to self-rated mental health in most countries. Our findings suggest that climate-related psychological stressors are significantly linked with mental health in many countries and draw attention to the need for cross-disciplinary research aimed at achieving rigorous empirical assessments of the unique challenge posed to mental health by negative emotional responses to climate change.
242;Role of Health Professionals Regarding the Impact of Climate Change on Health—An Exploratory Review;Health professionals are increasingly urged to act to protect individuals and populations against the negative effects of climate and environment change on health. However, the amount of evidence supporting initiatives to that end is unknown. We explored the literature examining the awareness, preparedness, and role of healthcare professionals to inform about the impact of climate change on health on the one hand, and literature about the effectiveness of interventions mediated by health professionals aiming at reducing the environmental impact of human activities on the other hand. We included 137 articles published between 2000 and 2020, mostly in general medical and nursing journals. The typical article was a perspective, commentary, or other special article aimed at alerting readers about the impact of climate and environment change on health. We identified 22 studies, of which only two reported interventions. Despite increasing efforts of health professionals to address climate and environment change and related health risks, health literature supporting such efforts remains scarce, and studies assessing the effectiveness of interventions are lacking. We need appropriate evidence to indicate which interventions should be prioritized, considering that the association of health issues with climate and environment change could constitute an effective lever for change.
243;Environment, Global Climate Change, and Cardiopulmonary Health;"and of the data and the intellectual content of discussed health implications of heat stress, extreme weather conditions, and dust storms, and organized the topics, writing, and ﬁnal submission of the manuscript; presented the patient advocacy perspective and edited the manuscript; W.A. discussed physical changes in earth climate systems; C.C. focused on the interaction between climate change, air pollution, aeroallergens, and cardiopulmonary health; K.E.P. presented interactions between chemical and climate stressors; G.D.T. explained clean air health co-beneﬁts of climate mitigation action; J.R.B. discussed the California experience as an example for action on climate change mitigation strategies; T.K.T. the conclusions and and modiﬁed the manuscript in its ﬁnal form."
244;Climate change and vector-borne diseases: what are the implications for public health research and policy?;"Vector-borne diseases continue to contribute significantly to the global burden of disease, and cause epidemics that disrupt health security and cause wider socioeconomic impacts around the world. All are sensitive in different ways to weather and climate conditions, so that the ongoing trends of increasing temperature and more variable weather threaten to undermine recent global progress against these diseases. Here, we review the current state of the global public health effort to address this challenge, and outline related initiatives by the World Health Organization (WHO) and its partners. Much of the debate to date has centred on attribution of past changes in disease rates to climate change, and the use of scenario-based models to project future changes in risk for specific diseases. While these can give useful indications, the unavoidable uncertainty in such analyses, and contingency on other socioeconomic and public health determinants in the past or future, limit their utility as decision-support tools. For operational health agencies, the most pressing need is the strengthening of current disease control efforts to bring down current disease rates and manage short-term climate risks, which will, in turn, increase resilience to long-term climate change. The WHO and partner agencies are working through a range of programmes to (i) ensure political support and financial investment in preventive and curative interventions to bring down current disease burdens; (ii) promote a comprehensive approach to climate risk management; (iii) support applied research, through definition of global and regional research agendas, and targeted research initiatives on priority diseases and population groups."
245;U.S. Air Quality and Health Benefits from Avoided Climate Change under Greenhouse Gas Mitigation.;We evaluate the impact of climate change on U.S. air quality and health in 2050 and 2100 using a global modeling framework and integrated economic, climate, and air pollution projections. Three internally consistent socioeconomic scenarios are used to value health benefits of greenhouse gas mitigation policies specifically derived from slowing climate change. Our projections suggest that climate change, exclusive of changes in air pollutant emissions, can significantly impact ozone (O3) and fine particulate matter (PM2.5) pollution across the U.S. and increase associated health effects. Climate policy can substantially reduce these impacts, and climate-related air pollution health benefits alone can offset a significant fraction of mitigation costs. We find that in contrast to cobenefits from reductions to coemitted pollutants, the climate-induced air quality benefits of policy increase with time and are largest between 2050 and 2100. Our projections also suggest that increasing climate policy stringency beyond a certain degree may lead to diminishing returns relative to its cost. However, our results indicate that the air quality impacts of climate change are substantial and should be considered by cost-benefit climate policy analyses.
246;Simultaneously Mitigating Near-Term Climate Change and Improving Human Health and Food Security;Why Wait? Tropospheric ozone can be dangerous to human health, can be harmful to vegetation, and is a major contributor to climate warming. Black carbon also has significant negative effects on health and air quality and causes warming of the atmosphere. Shindell et al. (p. 183) present results of an analysis of emissions, atmospheric processes, and impacts for each of these pollutants. Seven measures were identified that, if rapidly implemented, would significantly reduce global warming over the next 50 years, with the potential to prevent millions of deaths worldwide from outdoor air pollution. Furthermore, some crop yields could be improved by decreasing agricultural damage. Most of the measures thus appear to have economic benefits well above the cost of their implementation. Reducing anthropogenic emissions of methane and black carbon would have multiple climate and health benefits. Tropospheric ozone and black carbon (BC) contribute to both degraded air quality and global warming. We considered ~400 emission control measures to reduce these pollutants by using current technology and experience. We identified 14 measures targeting methane and BC emissions that reduce projected global mean warming ~0.5°C by 2050. This strategy avoids 0.7 to 4.7 million annual premature deaths from outdoor air pollution and increases annual crop yields by 30 to 135 million metric tons due to ozone reductions in 2030 and beyond. Benefits of methane emissions reductions are valued at $700 to $5000 per metric ton, which is well above typical marginal abatement costs (less than $250). The selected controls target different sources and influence climate on shorter time scales than those of carbon dioxide–reduction measures. Implementing both substantially reduces the risks of crossing the 2°C threshold.
247;Migration health crisis associated with climate change: A systematic review;BACKGROUND: The empirical assessment of the health outcomes associated with migration caused by climate change is still unclear. However, health outcomes in the early stages are expected to be similar to the health outcomes associated with refugees. The objective of the present study was a systematic review of the health effects of migration caused by climate change. METHODOLOGY: A systematic review was conducted according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. Online databases (PubMed, Scopus, Web of Science, and Google Scholar) were used to identify papers published that evaluated the health effects of migration caused by climate change. The search, article selection, and data extraction were carried out by two researchers independently. All English-language articles on the health effects of migration caused by climate change were included in this study. RESULTS: An analysis of the complex ways in which climate change influences populations can be facilitated using a three-class classification: compulsory displacement, resettlement planning, and migration. Subsequent to climate changes, other changes, and environmental deficiencies, compulsory displacement may occur in case of inadequacy of compatibility responses. A part of migration-related health outcomes caused by climate change is from displacement from rural to urban areas, especially in developing countries. There is significant documentation on health and livelihood inequalities between migrant groups and host populations in developed countries. CONCLUSION: If climate change continues in its current direction, it is likely that the number of refugees and crises will increase in the coming decades. Although the domain and the extent of health hazards caused by the displacement of the population associated with climate change cannot be clearly predicted, by reducing global greenhouse gas emissions, along with social and environmental adaptation strategies, migration caused by climate change, health risks and its relevant crises can be greatly reduced.
248;Climate change, women’s health, and the role of obstetricians and gynecologists in leadership;Climate change is one of the major global health threats to the world's population. It is brought on by global warming due in large part to increasing levels of greenhouse gases resulting from human activity, including burning fossil fuels (carbon dioxide), animal husbandry (methane from manure), industry emissions (ozone, nitrogen oxides, sulfur dioxide), vehicle/factory exhaust, and chlorofluorocarbon aerosols that trap extra heat in the earth's atmosphere. Resulting extremes of weather give rise to wildfires, air pollution, changes in ecology, and floods. These in turn result in displacement of populations, family disruption, violence, and major impacts on water quality and availability, food security, public health and economic infrastructures, and limited abilities for civil society to maintain citizen safety. Climate change also has direct impacts on human health and well‐being. Particularly vulnerable populations are affected, including women, pregnant women, children, the disabled, and the elderly, who comprise the majority of the poor globally. Additionally, the effects of climate change disproportionally affect disadvantaged communities, including low income and communities of color, and lower‐income countries that are at highest risk of adverse impacts when disasters occur due to inequitable distribution of resources and their socioeconomic status. The climate crisis is tilting the risk balance unfavorably for women's sexual and reproductive health and rights as well as newborn and child health. Obstetrician/gynecologists have the unique opportunity to raise awareness, educate, and advocate for mitigation strategies to reverse climate change affecting our patients and their families. This article puts climate change in the context of women's reproductive health as a public health issue, a social justice issue, a human rights issue, an economic issue, a political issue, and a gender issue that needs our attention now for the health and well‐being of this and future generations. FIGO joins a broad coalition of international researchers and the medical community in stating that the current climate crisis presents an imminent health risk to pregnant people, developing fetuses, and reproductive health, and recognizing that we need society‐wide solutions, government policies, and global cooperation to address and reduce contributors, including fossil fuel production, to climate change.
249;The effects on public health of climate change adaptation responses: a systematic review of evidence from low- and middle-income countries;Climate change adaptation responses are being developed and delivered in many parts of the world in the absence of detailed knowledge of their effects on public health. Here we present the results of a systematic review of peer-reviewed literature reporting the effects on health of climate change adaptation responses in low- and middle-income countries (LMICs). The review used the ‘Global Adaptation Mapping Initiative’ database (comprising 1682 publications related to climate change adaptation responses) that was constructed through systematic literature searches in Scopus, Web of Science and Google Scholar (2013–2020). For this study, further screening was performed to identify studies from LMICs reporting the effects on human health of climate change adaptation responses. Studies were categorised by study design and data were extracted on geographic region, population under investigation, type of adaptation response and reported health effects. The review identified 99 studies (1117 reported outcomes), reporting evidence from 66 LMICs. Only two studies were ex ante formal evaluations of climate change adaptation responses. Papers reported adaptation responses related to flooding, rainfall, drought and extreme heat, predominantly through behaviour change, and infrastructural and technological improvements. Reported (direct and intermediate) health outcomes included reduction in infectious disease incidence, improved access to water/sanitation and improved food security. All-cause mortality was rarely reported, and no papers were identified reporting on maternal and child health. Reported maladaptations were predominantly related to widening of inequalities and unforeseen co-harms. Reporting and publication-bias seems likely with only 3.5% of all 1117 health outcomes reported to be negative. Our review identified some evidence that climate change adaptation responses may have benefits for human health but the overall paucity of evidence is concerning and represents a major missed opportunity for learning. There is an urgent need for greater focus on the funding, design, evaluation and standardised reporting of the effects on health of climate change adaptation responses to enable evidence-based policy action.
250;Climate change‐triggered land degradation and planetary health: A review;Land is a vital natural resource for human socio‐ecological wellbeing. Around the world, land is being degraded due to various natural and anthropogenic factors such as flooding, wind erosion, agriculture and human settlement, and anthropogenic climate change. While significant research has been conducted on the separate dyads of: (1) anthropogenic climate change and land degradation and (2) land degradation and health, limited consideration has been given to the cause‐and‐effect relationships between anthropogenic climate change‐triggered land degradation and planetary health consequences. Using a systematic literature review and the driving force, pressure, state, exposure, effect (DPSEE) framework, this study synthesizes the complex causal relationships of anthropogenic climate change‐triggered land degradation and its planetary health consequences. Our findings demonstrate that anthropogenic climate change has induced and accelerated natural and anthropogenic land degradation through an array of pathways, resulting in planetary health consequences that can be grouped into six categories: (1) food and nutritional insecurity, (2) communicable and noncommunicable diseases, (3) livelihood insecurity, (4) physical and mental health, (5) health hazards related to extreme weather events, and (6) migration and conflict. Interlinkages exist between these six planetary health impact categories, adding to the complexity of the causal pathways. These collective impacts are hampering the realization of the UN Sustainable Development Goals around the world. The findings of this study and our DPSEE framework can help policymakers identify and integrate actions to better manage the planetary health impacts of climate change‐induced land degradation.
251;A review of mental health and wellbeing under climate change in small island developing states (SIDS);Small island developing states (SIDS) are often at the forefront of climate change impacts, including those related to health, but information on mental health and wellbeing is typically underreported. To help address this research lacuna, this paper reviews research about mental health and wellbeing under climate change in SIDS. Due to major differences in the literature’s methodologies, results, and analyses, the method is an overview and qualitative evidence synthesis of peer-reviewed publications. The findings show that mental health and wellbeing in the context of climate change have yet to feature prominently and systematically in research covering SIDS. It seems likely that major adverse mental health and wellbeing impacts linked to climate change impacts will affect SIDS peoples. Similar outcomes might also emerge when discussing climate change related situations, scenarios, and responses, irrespective of what has actually happened thus far due to climate change. In the context of inadequate health systems and stigmatisation of mental health diagnoses and treatments, as tends to occur globally, climate change narratives might present an opening for conversations about addressing mental health and wellbeing issues for SIDS.
252;Report of the intergovernmental panel on climate change: implications for the mental health policy of children and adolescents in Europe—a scoping review;"Climate change is a worldwide challenge. Its consequences do encompass severe threats not only for the existence and somatic health, but also for the mental health of children and adolescents. Mental health can be impaired by three types of consequences. Direct consequences of climate change, such as natural disasters and indirect consequences, such as loss of land, flight and migration, exposure to violence, change of social, ecological, economic or cultural environment. Moreover, the increasing awareness of the existential dimension of climate change in children and adolescents can influence their well-being or challenge their mental health. Consequences of climate change for somatic health may interact with mental health or have psychological sequelae in children and adolescents. Based on the estimates by the United Nations Intergovernmental Panel on Climate Change, we have summarized current data on these differential pathways as to how climate change affects the mental health of children worldwide through selective literature research on Pubmed. Mental health sequelae of direct and indirect consequences of climate change, increased awareness and physical health problems caused by climate change are presented. We give insights into special vulnerabilities of children and adolescents and identify high-risk groups. As the “Fridays for Future” movement has been initiated in northern Europe, we will discuss these results with a focus on children and adolescents in Europe. The results indicate that climate change is a serious threat to children and adolescent mental health. Children´s rights, mental health and climate change should not continue to be seen as separate points; instead, they need to be brought together to address this major challenge determining the future of our children and their descendants."
253;Positive Externalities of Climate Change Mitigation and Adaptation for Human Health: A Review and Conceptual Framework for Public Health Research;Anthropogenic climate change is adversely impacting people and contributing to suffering and increased costs from climate-related diseases and injuries. In responding to this urgent and growing public health crisis, mitigation strategies are in place to reduce future greenhouse gas emissions (GHGE) while adaptation strategies exist to reduce and/or alleviate the adverse effects of climate change by increasing systems’ resilience to future impacts. While these strategies have numerous positive benefits on climate change itself, they also often have other positive externalities or health co-benefits. This knowledge can be harnessed to promote and improve global public health, particularly for the most vulnerable populations. Previous conceptual models in mitigation and adaptation studies such as the shared socioeconomic pathways (SSPs) considered health in the thinking, but health outcomes were not their primary intention. Additionally, existing guidance documents such as the World Health Organization (WHO) Guidance for Climate Resilient and Environmentally Sustainable Health Care Facilities is designed primarily for public health professionals or healthcare managers in hospital settings with a primary focus on resilience. However, a detailed cross sectoral and multidisciplinary conceptual framework, which links mitigation and adaptation strategies with health outcomes as a primary end point, has not yet been developed to guide research in this area. In this paper, we briefly summarize the burden of climate change on global public health, describe important mitigation and adaptation strategies, and present key health benefits by giving context specific examples from high, middle, and low-income settings. We then provide a conceptual framework to inform future global public health research and preparedness across sectors and disciplines and outline key stakeholders recommendations in promoting climate resilient systems and advancing health equity.
254;Plant-Based Meats, Human Health, and Climate Change;There is wide scale concern about the effects of red meat on human health and climate change. Plant-based meat alternatives, designed to mimic the sensory experience and nutritional value of red meat, have recently been introduced into consumer markets. Plant-based meats are marketed under the premise of environmental and human health benefits and are aimed appeal to a broad consumer base. Meat production is critiqued for its overuse of water supplies, landscape degradation, and greenhouse gas emission, and depending on production practices, environmental footprints may be lower with plant-based meat alternatives. Life-cycle analyses suggest that the novel plant-based meat alternatives have an environmental footprint that may be lower than beef finished in feedlots, but higher than beef raised on well-managed pastures. In this review, we discuss the nutritional and ecological impacts of eating plant-based meat alternatives vs. animal meats. Most humans fall on a spectrum of omnivory: they satisfy some nutrient requirements better from plant foods, while needs for other nutrients are met more readily from animal foods. Animal foods also facilitate the uptake of several plant-derived nutrients (zinc and iron), while plant nutrients can offer protection against potentially harmful compounds in cooked meat. Thus, plant and animal foods operate in symbiotic ways to improve human health. The mimicking of animal foods using isolated plant proteins, fats, vitamins, and minerals likely underestimates the true nutritional complexity of whole foods in their natural state, which contain hundreds to thousands of nutrients that impact human health. Novel plant-based meat alternatives should arguably be treated as meat alternatives in terms of sensory experience, but not as true meat replacements in terms of nutrition. If consumers wish to replace some of their meat with plant-based alternatives in the diet (a “flexitarian approach”) this is unlikely to negatively impact their overall nutrient status, but this also depends on what other foods are in their diet and the life stage of the individual.
255;Climate change and ecosystems: threats, opportunities and solutions;The rapid anthropogenic climate change that is being experienced in the early twenty-first century is intimately entwined with the health and functioning of the biosphere. Climate change is impacting ecosystems through changes in mean conditions and in climate variability, coupled with other associated changes such as increased ocean acidification and atmospheric carbon dioxide concentrations. It also interacts with other pressures on ecosystems, including degradation, defaunation and fragmentation. There is a need to understand the ecological dynamics of these climate impacts, to identify hotspots of vulnerability and resilience and to identify management interventions that may assist biosphere resilience to climate change. At the same time, ecosystems can also assist in the mitigation of, and adaptation to, climate change. The mechanisms, potential and limits of such nature-based solutions to climate change need to be explored and quantified. This paper introduces a thematic issue dedicated to the interaction between climate change and the biosphere. It explores novel perspectives on how ecosystems respond to climate change, how ecosystem resilience can be enhanced and how ecosystems can assist in addressing the challenge of a changing climate. It draws on a Royal Society-National Academy of Sciences Forum held in Washington DC in November 2018, where these themes and issues were discussed. We conclude by identifying some priorities for academic research and practical implementation, in order to maximize the potential for maintaining a diverse, resilient and well-functioning biosphere under the challenging conditions of the twenty-first century. This article is part of the theme issue ‘Climate change and ecosystems: threats, opportunities and solutions’.
256;Health Risks Due To Climate Change: Inequity In Causes And Consequences.;Climate change has altered global to local weather patterns and increased sea levels, and it will continue to do so. Average temperatures, precipitation amounts, and other variables such as humidity levels are all rising. In addition, weather variability is increasing, causing, for example, a greater number of heat waves, many of which are more intense and last longer, and more floods and droughts. These changes are collectively increasing the number of injuries, illnesses, and deaths from a wide range of climate-sensitive health outcomes. Future health risks will be determined not just by the hazards created by a changing climate but also by the sensitivity of individuals and communities exposed to these hazards and the capacity of health systems to prepare for and effectively manage the attendant risks. These risks include deaths and injuries from extreme events (for example, heat waves, storms, and floods), infectious diseases (including food-, water-, and vectorborne illnesses), and food and water insecurity. These risks are unevenly distributed and both create new inequities and exacerbate those that already exist. Most of these risks are projected to increase with each additional unit of warming. Using an equity lens to move beyond incremental to transformational resilience would reduce vulnerability and improve sustainability for all, but substantial additional funding is required for proactive and effective actions by the health system.
